Category,Sub Category,Product_id,Product_name,Price,Rating_value,Rating_count,Frequently_bought_together
Sách tiếng Việt ,"Truyện Tranh, Manga, Comic",394868,One Piece - Tập 2,17355,5,11,548203;517253;449278;444358;
Sách tiếng Việt ,Sách thiếu nhi ,573726,Picture Book - Ngày Sáp Màu Theo Nhau Bỏ Việc,41250,5,8,565846;492382;442941;
Sách tiếng Việt ,"Truyện Tranh, Manga, Comic",525629,Sailormoon - Thủy Thủ Mặt Trăng (Tập 1),22250,5,8,543941;575916;512411;
Sách tiếng Việt ,Sách văn học,431244,Tội Ác Và Trừng Phạt,103500,4.2,17,None
Sách tiếng Việt ,"Truyện Tranh, Manga, Comic",396491,Doraemon - Truyện Ngắn Tập 4 (2014),14240,4.4,9,396488;396550;396549;396487;
Sách tiếng Việt ,Sách Kiến Thức Tổng Hợp,602648,Đắc Nhân Tâm - Bí Quyết Để Thành Công,50000,5,3,911820;787547;884446;631546;
Nhà Sách Tiki,Văn phòng phẩm - Quà lưu niệm,652964,Flash card 4D Magic World (Animals),324350,5,14,None
Sách văn học,Tiểu thuyết tình cảm,3601367,"Em Vẫn Ổn, Chỉ Là Rất Nhớ Anh",62000,4,5,None
Sách tiếng Việt ,Sách Học Ngoại Ngữ,553989,Enrich Your IELTS Vocabulary,321300,4.6,14,392568;443241;437312;437969;
Sách Bà mẹ - Em bé,Sách Thai Giáo,3547971,Thai Giáo Theo Chuyên Gia 280 Ngày,68600,0,0,None
Văn học Việt Nam,Lý luận - Phê bình,3021811,Sự Lưỡng Nan Của Tình Thế Làm Người,73500,0,0,None
Văn học nước ngoài,Tiểu thuyết ,1886563,Hai Kinh Thành,126000,0,0,1826145;1891375;1892785;1749159;
Sách văn học,Truyện giả tưởng,758054,Tiệm Sách Cũ Của Biblia - Tập 3 - Shioriko Và Những Lời Chưa Ngỏ,71250,4.7,17,561925;817908;817974;977658;
Sách tiếng Việt ,Sách văn học,539247,Làm Dâu Cõi Chết,80500,4.5,20,None
Sách tiếng Việt ,Sách văn học,468614,"Quỷ Hành Thiện Hạ Hệ Liệt (Tập 7, Tập 8A - 8B)",262500,4.6,20,429499;538615;488228;
"Truyện Tranh, Manga, Comic",Các Truyện Tranh Khác,2354637,Inuyasha - Tập 9 (Bản Đặc Biệt),60000,4.8,5,2354639;2362987;2354635;2387985;
