Category,Sub Category,Product_id,Product_name,Price,Rating_value,Rating_count,Frequently_bought_together
Văn học nước ngoài,Truyện ngắn,1621207,Bốn Chàng Trai Cùng Nhau Đi Du Lịch,71000,4.8,11,2181161;2245453;647864;
Sách văn học,Truyện ngắn - Tản văn,1934401,Gửi Thanh Xuân Ấm Áp Của Chúng Ta (Tập 1 Và 2),119400,4.5,53,567066;1627925;1715891;1926791;
Sách thiếu nhi ,Truyện tranh Ehon,787575,Truyện Tranh Ehon - Kerolympic,25000,0,0,787571;905108;810227;1005148;
Sách thiếu nhi ,Truyện tranh Ehon,787571,Truyện Tranh Ehon - Hạt Dưa Hấu,25000,4.3,6,787575;905108;810227;551563;
Sách tiếng Việt ,Sách văn học,378448,Nhà Giả Kim,50370,4.7,3107,418676;481515;750578;532016;
Sách tiếng Việt ,Sách Học Ngoại Ngữ,617397,Cẩm Nang Tự Học IELTS,66000,4.9,2538,529363;452117;403757;
Sách tiếng Việt ,Sách kỹ năng - Sống đẹp,551563,Tuổi Trẻ Đáng Giá Bao Nhiêu,51000,4.6,2245,1005148;513788;480040;576362;
Sách tiếng Việt ,Sách văn học,418676,5 Centimet Trên Giây,35000,4.5,1528,481515;378448;592929;
Sách tiếng Việt ,Sách kỹ năng - Sống đẹp,480040,Đắc Nhân Tâm (Khổ Lớn),53200,4.6,912,513788;551563;1005148;
Sách tiếng Việt ,Sách kinh tế,335337,Tôi Tài Giỏi - Bạn Cũng Thế,82500,4.7,1091,398558;617397;567066;474397;
Sách tham khảo cấp III,Sách Tham Khảo Lớp 12,970950,Công Phá Toán 3,149000,5,1005,970948;1310707;1007139;
Sách tiếng Việt ,Sách văn học,337191,Tôi Thấy Hoa Vàng Trên Cỏ Xanh (Nguyễn Nhật Ánh),60500,4.7,1296,425284;347334;382220;
Sách tham khảo cấp III,Sách Tham Khảo Lớp 12,970948,Công Phá Toán 2,143000,5,878,970950;716425;1321419;
Sách tiếng Việt ,Sách văn học,415412,Yêu Em Từ Cái Nhìn Đầu Tiên (Ấn Bản Kỷ Niệm) - Tặng Kèm 7 Bookmark Nhân Vật Và 3 Postcard,71000,4.7,1005,569812;390192;548293;
Sách tiếng Việt ,Sách văn học,456062,Sherlock Holmes Toàn Tập  (3 Tập - Bìa Cứng - Hộp Ngang),230000,4.8,648,982037;888211;641906;
Sách tiếng Việt ,Sách Học Ngoại Ngữ,435425,Luyện Siêu Trí Nhớ Từ Vựng Tiếng Anh (Dùng Kèm App - Tặng Kèm Ebook ),131600,4.4,1073,None
Sách tiếng Việt ,Sách kinh tế,398558,Đời Ngắn Đừng Ngủ Dài,47400,4.5,300,1005148;474397;551563;513788;
Sách tiếng Việt ,Sách văn học,371294,Thất Tịch Không Mưa,59250,4.6,744,None
Sách tiếng Việt ,Sách văn học,410975,All In Love - Ngập Tràn Yêu Thương,59000,4.6,785,585980;371294;427061;629163;
Sách tiếng Việt ,Sách kỹ năng - Sống đẹp,1005148,Tony Buổi Sáng - Trên Đường Băng (Tái Bản 2017),60000,4.8,310,551563;513788;480040;810227;
Văn học nước ngoài,Tự truyện - Hồi ký ,750578,Khi Hơi Thở Hóa Thinh Không,73000,4.5,424,378448;418676;1934401;481515;
Sách kỹ năng - Sống đẹp,Sách tư duy - Kỹ năng sống,763843,"Mình Là Cá, Việc Của Mình Là Bơi",53400,4.1,415,810227;551563;513788;1005148;
Bút - Viết các loại,Bút vẽ kỹ thuật,111579,Bút Vẽ Kỹ Thuật Marvy - 4600,17000,4.6,671,None
